id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
5ca9ecb5-21d1-42fd-afef-aa79929facae,5,1,0,Kick Off,2,From Kick Off,Spain,Daniel Olmo Carvajal,Center Forward,1.343146,3795220,16532,,,,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,59.10865,41.312214,37.1,34.6
1523f029-3595-4228-9474-848a0f1052b7,8,1,0,,2,From Kick Off,Spain,Aymeric Laporte,Left Center Back,2.680299,3795220,4353,,,,Complete,6685,Mikel Oyarzabal Ugarte,High Pass,Left Foot,22.815718,32.46448,84.3,74.4
b50fd511-f862-4c04-94ea-953558db6ad6,12,1,0,Throw-in,3,From Throw In,Italy,Emerson Palmieri dos Santos,Left Back,0.958601,3795220,4355,,,,Complete,7788,Ciro Immobile,High Pass,,31.538994,0.538,49.2,5.5
68c99a72-14e8-40df-b56d-50e41fb58f5a,14,1,0,,3,From Throw In,Italy,Ciro Immobile,Center Forward,3.178538,3795220,7788,,,,Incomplete,,,Low Pass,Head,48.37774,4.95033,76.6,14.1
613318e8-0614-4d34-ad20-b1a4325c46e9,15,1,0,Recovery,4,Regular Play,Spain,Eric García Martret,Right Center Back,2.863385,3795220,31953,,,,Complete,11748,Unai Simón Mendibil,Ground Pass,Right Foot,45.14605,67.76917,16.3,41.6
2783a894-1ce0-42e6-a1d2-4e9f31d82eb6,18,1,0,,4,Regular Play,Spain,Unai Simón Mendibil,Goalkeeper,1.563646,3795220,11748,,,,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,17.450739,43.178974,23.2,18.3
713c0a17-f371-4935-b9c7-9fc9c0776781,21,1,0,,4,Regular Play,Spain,Aymeric Laporte,Left Center Back,1.0995,3795220,4353,,,,Complete,16532,Daniel Olmo Carvajal,Ground Pass,Left Foot,31.339905,21.113598,49.0,32.4
8bfd3b04-f37a-4348-a5b0-f678156f4e13,27,1,0,Free Kick,5,From Free Kick,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,2.070275,3795220,5203,True,,,Complete,31953,Eric García Martret,Ground Pass,Right Foot,54.8,29.0,47.8,51.9
c95dcec9-8eb5-40c4-9df9-f5fe892ee8cd,29,1,0,,5,From Free Kick,Spain,Eric García Martret,Right Center Back,1.836527,3795220,31953,,,,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,51.89869,53.728645,47.3,27.1
ad956e81-cfa6-4f18-8d1a-bc28f11fe9ea,32,1,0,,5,From Free Kick,Spain,Aymeric Laporte,Left Center Back,1.164062,3795220,4353,,,,Complete,5211,Jordi Alba Ramos,Ground Pass,Left Foot,50.73546,28.651861,56.7,7.0
d4979fca-05d6-4685-8fd4-4412f4341406,35,1,0,,5,From Free Kick,Spain,Jordi Alba Ramos,Left Back,1.00342,3795220,5211,,,,Complete,6748,Ferrán Torres García,Ground Pass,Left Foot,58.95131,12.733593,71.3,2.1
b8e84148-0cbc-447c-ad5a-54f25d4815c1,39,1,0,,5,From Free Kick,Spain,Ferrán Torres García,Left Wing,0.890137,3795220,6748,,,,Complete,5211,Jordi Alba Ramos,Ground Pass,Right Foot,67.10583,4.0802617,56.5,3.8
bf9d4f53-0f78-4eb6-a611-14cbd09127f7,42,1,0,,5,From Free Kick,Spain,Jordi Alba Ramos,Left Back,1.343526,3795220,5211,,,,Complete,4353,Aymeric Laporte,Ground Pass,Left Foot,54.067142,12.727182,29.6,9.8
8c5a0e6f-b09b-4f43-9a4b-bf39880b29bc,46,1,1,,5,From Free Kick,Spain,Aymeric Laporte,Left Center Back,0.434727,3795220,4353,,,,Complete,5211,Jordi Alba Ramos,Ground Pass,Left Foot,44.566097,14.624148,49.7,3.1
921395a4-2ded-4779-b5ab-d30826ee25b0,49,1,1,,5,From Free Kick,Spain,Jordi Alba Ramos,Left Back,1.92537,3795220,5211,,,,Complete,5203,Sergio Busquets i Burgos,Ground Pass,Left Foot,47.12186,4.575868,35.1,14.9
e3c9a9c3-24e4-4d07-8f9c-99003671d143,53,1,1,,5,From Free Kick,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,0.754422,3795220,5203,,,,Incomplete,16532,Daniel Olmo Carvajal,Ground Pass,Right Foot,32.524452,7.3875484,48.4,14.9
77ba34a3-4150-4966-be37-e39cdc927478,58,1,1,,5,From Free Kick,Italy,Jorge Luiz Frello Filho,Center Defensive Midfield,1.17234,3795220,7024,,True,,Complete,7156,Federico Chiesa,Ground Pass,Right Foot,70.81605,59.845814,77.7,71.8
f486f38b-255f-4f53-a01a-bc6bada6eb06,61,1,1,,5,From Free Kick,Italy,Federico Chiesa,Right Wing,0.666182,3795220,7156,,True,,Incomplete,7024,Jorge Luiz Frello Filho,Ground Pass,Right Foot,77.0473,66.554214,71.5,71.2
01dc6a5e-d1e5-4dd9-b107-1d0dddc2770f,65,1,1,,5,From Free Kick,Spain,Ferrán Torres García,Left Wing,0.973147,3795220,6748,,,,Complete,5199,Jorge Resurrección Merodio,Ground Pass,Right Foot,46.375126,21.73353,42.6,22.6
29c761ee-4dd3-473b-bfbd-ffbb6abe7c5d,68,1,1,,5,From Free Kick,Spain,Jorge Resurrección Merodio,Right Center Midfield,1.464452,3795220,5199,,,,Complete,3957,César Azpilicueta Tanco,Ground Pass,Right Foot,38.02265,38.09576,45.2,57.5
34c50f9a-b32c-48fc-a6f0-4143aff0d0ee,71,1,1,,5,From Free Kick,Spain,César Azpilicueta Tanco,Right Back,0.944855,3795220,3957,,,,Complete,6685,Mikel Oyarzabal Ugarte,Low Pass,Right Foot,55.0,64.3,77.5,55.3
fceeb8c5-8933-4a41-864f-ae901d9b7c32,78,1,1,,6,Regular Play,Italy,Giorgio Chiellini,Left Center Back,1.666964,3795220,6954,,True,,Complete,4355,Emerson Palmieri dos Santos,Ground Pass,Right Foot,37.74201,28.303783,28.7,22.6
4cfb5e50-ca56-4da6-86c3-27855ce180c3,81,1,1,,6,Regular Play,Italy,Emerson Palmieri dos Santos,Left Back,2.646386,3795220,4355,,,,Complete,7036,Gianluigi Donnarumma,Ground Pass,Left Foot,28.18934,18.849083,12.7,40.4
5e1b58db-7d01-443e-8848-bab3b0242edd,84,1,1,,6,Regular Play,Italy,Gianluigi Donnarumma,Goalkeeper,2.519889,3795220,7036,,,,Complete,11514,Giovanni Di Lorenzo,Ground Pass,Left Foot,11.49129,38.30586,28.9,70.1
b152a820-eaf3-4ba4-8a6e-2ab2d9028712,87,1,1,,6,Regular Play,Italy,Giovanni Di Lorenzo,Right Back,1.233282,3795220,11514,,,,Complete,7156,Federico Chiesa,Ground Pass,Right Foot,29.82157,68.57531,43.7,76.5
51c3477d-d26a-4020-bdfe-ad2a9571b8bf,91,1,1,,6,Regular Play,Italy,Federico Chiesa,Right Wing,1.50634,3795220,7156,,True,,Out,11514,Giovanni Di Lorenzo,Ground Pass,Right Foot,43.55264,76.75922,50.7,80.0
48fd6109-edf6-4711-a865-874b88972c8c,94,1,1,Throw-in,7,From Throw In,Spain,Jordi Alba Ramos,Left Back,2.285789,3795220,5211,True,,,Complete,31953,Eric García Martret,Low Pass,,60.6,0.1,43.1,38.6
79c159ac-6927-4194-8c30-3d1b0e7a5166,96,1,1,,7,From Throw In,Spain,Eric García Martret,Right Center Back,3.251714,3795220,31953,,,,Incomplete,6748,Ferrán Torres García,High Pass,Right Foot,56.208008,52.686607,95.0,9.1
34819ee2-c426-47f0-b59d-2783be3ba480,98,1,1,Interception,8,Regular Play,Italy,Giovanni Di Lorenzo,Right Back,2.001666,3795220,11514,,,,Complete,7173,Leonardo Bonucci,High Pass,Head,23.73829,72.71123,24.0,56.0
4e256b0e-bbaf-4b20-b395-e79155d72462,100,1,2,,8,Regular Play,Italy,Leonardo Bonucci,Right Center Back,1.781972,3795220,7173,,,,Complete,7036,Gianluigi Donnarumma,Low Pass,Head,23.60382,50.710514,8.0,53.9
3186babf-6826-484f-976c-22b50501f70d,103,1,2,,8,Regular Play,Italy,Gianluigi Donnarumma,Goalkeeper,1.20652,3795220,7036,,,,Complete,6954,Giorgio Chiellini,Ground Pass,Keeper Arm,8.78722,43.22523,9.2,29.5
bdae6b8d-a440-45b4-8fe6-f55939361ec7,106,1,2,,8,Regular Play,Italy,Giorgio Chiellini,Left Center Back,1.414168,3795220,6954,,,,Complete,7173,Leonardo Bonucci,Ground Pass,Left Foot,8.05839,31.63677,9.2,58.1
ad175adc-4cd7-4e14-987f-84799886f53f,110,1,2,,8,Regular Play,Italy,Leonardo Bonucci,Right Center Back,0.258963,3795220,7173,,True,,Unknown,11514,Giovanni Di Lorenzo,Ground Pass,Right Foot,8.05742,61.485153,10.7,70.1
70053a8b-9b66-4b8d-a4bb-f2527f1b1834,114,1,2,Free Kick,9,From Free Kick,Italy,Leonardo Bonucci,Right Center Back,1.917782,3795220,7173,True,,,Complete,7036,Gianluigi Donnarumma,Ground Pass,Right Foot,8.8,65.2,8.4,40.0
9ba0379e-f906-424b-9a5f-591a6d58b36f,117,1,2,,9,From Free Kick,Italy,Gianluigi Donnarumma,Goalkeeper,0.802244,3795220,7036,,True,,Complete,7024,Jorge Luiz Frello Filho,Ground Pass,Left Foot,13.75106,39.13498,21.2,49.6
49d16e80-3101-4297-a957-17615556bbdc,121,1,2,,9,From Free Kick,Italy,Jorge Luiz Frello Filho,Center Defensive Midfield,1.310341,3795220,7024,,True,,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,22.5077,44.00731,9.9,62.6
b616ff3b-d5ce-4794-94b8-7305402e3265,124,1,2,,9,From Free Kick,Italy,Leonardo Bonucci,Right Center Back,1.949262,3795220,7173,,,,Complete,7037,Lorenzo Insigne,High Pass,Right Foot,11.68226,64.175,44.1,39.7
639d1ef9-fe14-4e28-aeb2-f246d03a0888,128,1,2,,9,From Free Kick,Italy,Lorenzo Insigne,Left Wing,1.984452,3795220,7037,,True,,Complete,7788,Ciro Immobile,High Pass,Other,44.67439,40.72299,52.7,39.3
b37e0fe1-994d-4438-9c28-cd21f396dfd6,132,1,2,,9,From Free Kick,Italy,Ciro Immobile,Center Forward,1.966871,3795220,7788,,,,Complete,4355,Emerson Palmieri dos Santos,Ground Pass,Left Foot,53.76883,30.214127,64.0,8.3
450a6cb8-0bff-4807-a506-6fef80f2847b,135,1,2,,9,From Free Kick,Italy,Emerson Palmieri dos Santos,Left Back,2.698731,3795220,4355,,,,Pass Offside,8181,Nicolò Barella,Ground Pass,Left Foot,69.17719,1.770386,100.4,29.0
d92e702e-97ec-408a-9afc-6170cce0ea95,137,1,3,Free Kick,10,From Free Kick,Spain,Unai Simón Mendibil,Goalkeeper,1.14434,3795220,11748,True,,,Complete,31953,Eric García Martret,Ground Pass,Right Foot,12.9,42.5,21.7,54.3
9712b321-fcaa-490c-a7ae-120d55b42d96,139,1,3,,10,From Free Kick,Spain,Eric García Martret,Right Center Back,1.266744,3795220,31953,,,,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,22.7,54.7,30.2,28.2
7e6c5150-4329-4cf5-a380-310dea1391bb,142,1,3,,10,From Free Kick,Spain,Aymeric Laporte,Left Center Back,1.477603,3795220,4353,,,,Complete,11748,Unai Simón Mendibil,Ground Pass,Right Foot,27.10843,26.07397,10.1,35.7
796c6518-8b18-49ed-b38d-43b970c4e531,145,1,3,,10,From Free Kick,Spain,Unai Simón Mendibil,Goalkeeper,1.53789,3795220,11748,,,,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,10.505102,41.436016,13.7,14.1
e30cc8e5-9efe-4896-a438-e25c45382682,148,1,3,,10,From Free Kick,Spain,Aymeric Laporte,Left Center Back,1.851255,3795220,4353,,,,Incomplete,16532,Daniel Olmo Carvajal,Low Pass,Left Foot,16.757153,14.653025,40.5,34.4
55d8ac95-6464-4c3d-8399-843eb3f586da,150,1,3,Recovery,10,From Free Kick,Italy,Marco Verratti,Left Center Midfield,0.909009,3795220,3166,,,,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,81.49603,42.0795,76.6,52.6
824a397f-3af5-4384-a155-a4d53b84115b,154,1,3,,10,From Free Kick,Italy,Leonardo Bonucci,Right Center Back,1.421048,3795220,7173,,True,,Incomplete,7788,Ciro Immobile,Ground Pass,Right Foot,76.98489,47.286148,98.0,51.7
